player_id	daily_recharge	platform_profit	loss_percentage	offer_tier
42335482	1000.00	1073.86	107.39	500-1999 (25% cashback)
42573306	1000.00	1037.00	103.70	500-1999 (25% cashback)
42847530	1000.00	1156.32	115.63	500-1999 (25% cashback)
43839966	1000.00	1175.04	117.50	500-1999 (25% cashback)
43897912	1000.00	1151.66	115.17	500-1999 (25% cashback)
44094710	1000.00	1119.70	111.97	500-1999 (25% cashback)
44096835	1000.00	1091.68	109.17	500-1999 (25% cashback)
44396655	1000.00	1200.00	120.00	500-1999 (25% cashback)
44501837	1000.00	1249.70	124.97	500-1999 (25% cashback)
44908464	1000.00	1140.03	114.00	500-1999 (25% cashback)
46195177	1000.00	1054.80	105.48	500-1999 (25% cashback)
47085752	1000.00	1061.00	106.10	500-1999 (25% cashback)
47191083	1000.00	1080.08	108.01	500-1999 (25% cashback)
47572106	1000.00	1160.00	116.00	500-1999 (25% cashback)
47606552	1000.00	1057.00	105.70	500-1999 (25% cashback)
47916440	1000.00	1171.49	117.15	500-1999 (25% cashback)
48112321	1000.00	992.00	99.20	500-1999 (25% cashback)
48498932	1000.00	1038.54	103.85	500-1999 (25% cashback)
49417717	1000.00	1237.02	123.70	500-1999 (25% cashback)
49824156	1000.00	1094.52	109.45	500-1999 (25% cashback)
50092888	1000.00	1258.00	125.80	500-1999 (25% cashback)
51083918	1000.00	1063.45	106.35	500-1999 (25% cashback)
52685266	1000.00	1070.25	107.03	500-1999 (25% cashback)
53563537	1000.00	1239.76	123.98	500-1999 (25% cashback)
53585696	1000.00	1087.21	108.72	500-1999 (25% cashback)
53735215	1000.00	1085.50	108.55	500-1999 (25% cashback)
53756345	1000.00	1067.00	106.70	500-1999 (25% cashback)
54018100	1000.00	1105.00	110.50	500-1999 (25% cashback)
54066993	1000.00	1146.40	114.64	500-1999 (25% cashback)
55520717	1000.00	1151.75	115.18	500-1999 (25% cashback)
55870809	1000.00	1190.28	119.03	500-1999 (25% cashback)
55872394	1000.00	1068.20	106.82	500-1999 (25% cashback)
56131493	1000.00	1049.00	104.90	500-1999 (25% cashback)
56335605	1000.00	1172.10	117.21	500-1999 (25% cashback)
56539785	1000.00	1184.00	118.40	500-1999 (25% cashback)
57342507	1000.00	1241.95	124.20	500-1999 (25% cashback)
58077067	1000.00	1082.00	108.20	500-1999 (25% cashback)
58248815	1000.00	1057.64	105.76	500-1999 (25% cashback)
58420113	1000.00	1114.00	111.40	500-1999 (25% cashback)
58911844	1000.00	1158.08	115.81	500-1999 (25% cashback)
59278388	1000.00	1094.00	109.40	500-1999 (25% cashback)
59580393	1000.00	1102.44	110.24	500-1999 (25% cashback)
60396839	1000.00	1297.32	129.73	500-1999 (25% cashback)
60700729	1000.00	1117.00	111.70	500-1999 (25% cashback)
60748782	1000.00	1205.86	120.59	500-1999 (25% cashback)
61029153	1000.00	1339.12	133.91	500-1999 (25% cashback)
61739090	1000.00	1167.00	116.70	500-1999 (25% cashback)
62329546	1000.00	1124.00	112.40	500-1999 (25% cashback)
65453853	1000.00	1048.44	104.84	500-1999 (25% cashback)
67506726	1000.00	1062.45	106.25	500-1999 (25% cashback)
68236531	1000.00	1123.00	112.30	500-1999 (25% cashback)
69080679	1000.00	1082.20	108.22	500-1999 (25% cashback)
70492683	1000.00	1119.49	111.95	500-1999 (25% cashback)
72071318	1000.00	1115.25	111.53	500-1999 (25% cashback)
72385286	1000.00	1081.00	108.10	500-1999 (25% cashback)
73551446	1000.00	1117.90	111.79	500-1999 (25% cashback)
73986467	1000.00	1000.00	100.00	500-1999 (25% cashback)
74383513	1000.00	1360.37	136.04	500-1999 (25% cashback)
74405423	1000.00	1009.14	100.91	500-1999 (25% cashback)
74672544	1000.00	1172.00	117.20	500-1999 (25% cashback)
75327436	1000.00	1125.25	112.53	500-1999 (25% cashback)
75603419	1000.00	1154.01	115.40	500-1999 (25% cashback)
75786466	1000.00	1164.25	116.43	500-1999 (25% cashback)
75826238	1000.00	1077.00	107.70	500-1999 (25% cashback)
76057219	1000.00	1085.68	108.57	500-1999 (25% cashback)
76252528	1000.00	1059.28	105.93	500-1999 (25% cashback)
77321376	1000.00	1117.10	111.71	500-1999 (25% cashback)
77465110	1000.00	1674.01	167.40	500-1999 (25% cashback)
78111887	1000.00	1030.00	103.00	500-1999 (25% cashback)
78124561	1000.00	1052.59	105.26	500-1999 (25% cashback)
79222075	1000.00	1032.60	103.26	500-1999 (25% cashback)
